название,значение
паспорт гражданина Российской Федерации,Pasportgrazhdanina_Rossijskoj_FederacziiMember
"свидетельство органов ЗАГС, органа исполнительной власти или органа местного самоуправления о рождении гражданина",SvidZAGS_Rek_kl_razm_im_u_prof_uch_o_rozhdeniiMember
паспорт моряка (удостоверение личности моряка),Pasportmoryakaudostoverenie_lichnosti_moryakaMember
удостоверение личности военнослужащего,UdostoverenielichnostivoennosluzhashhegoMember
военный билет военнослужащего,VoennyjbiletvoennosluzhashhegoMember
временное удостоверение личности гражданина Российской Федерации,VremennoeudostoverenielichnostigrazhdaninaMember
справка об освобождении из мест лишения свободы,SpravkaobosvobozhdeniiizmestlisheniyasvobodyMember
"паспорт иностранного гражданина либо иной документ, установленный федеральным законом или признаваемый в соответствии с международным договором Российской Федерации в качестве документа, удостоверяющего личность иностранного гражданина",Pasportinostrannogograzhdanina_inoj_dokumentmember
вид на жительство,VidnazhitelstvoMember
разрешение на временное проживание (для лиц без гражданства),RazreshenienavremennoeprozhivanieMember
удостоверение беженца,UdostovereniebezhenczaMember
миграционная карта,MigraczionnayakartaMember
паспорт гражданина СССР,PasportgrazhdaninaSSSRMember
страховой номер индивидуального лицевого счета застрахованного лица в системе персонифицированного учета Фонда пенсионного и социального страхования Российской Федерации (СНИЛС),SNILSMember
водительское удостоверение,VoditelskoeudostoverenieMember
свидетельство о регистрации транспортного средства в органах Министерства внутренних дел Российской Федерации,SvidetelstvooregistracziitransportnogosredstvavMVDMember
